SOURCE_OBJECT_KEY,SOURCE_SYSTEM,SUB_SOURCE_SYSTEM,SOURCE_OBJECT_TYPE,SOURCE_SYSTEM_TYPE,SOURCE_TABLE_DB,SOURCE_TABLE_SCHEMA,COLUMN_ALIAS,SOURCE_TABLE_NAME,SOURCE_TS_COLUMN_NAME,SOURCE_FILTER_CONDITION,SOURCE_DELETE_COLUMN,SOURCE_FILE_PATH,SOURCE_FILE_PATTERN,SOURCE_FILE_TYPE,SOURCE_FILE_FORMAT,SOURCE_FILE_HEADER_FLAG,FILE_FIELD_SEPARATOR,FILE_RECORD_SEPARATOR,FILE_QUOTE_CHARACTER,FILE_ESCAPE_CHARACTER,FILE_ATTRIBUTES_COUNT,DQ_CHECK_REQD,SOURCE_EXTRACT_TYPE,SOURCE_PRIMARY_COLUMNS,SOURCE_HASH_COLUMNS,SOURCE_HASH_EXCLUSION_COLUMNS,TARGET_CONTAINER_NAME,TARGET_PATH,TARGET_TABLE_NAME,IS_ACTIVE,IS_FILE_COMPRESSED,FILE_COMPRESS_FORMAT,SCD_LOAD_TYPE,SOURCE_TABLE_IS_PARTITIONED,SOURCE_TABLE_PARTITION_KEY,SOURCE_API_URL,HISTORY_LOAD_FROM_DATETIME,HISTORY_LOAD_TO_DATETIME,DELIVERY_MECHANISM,DELIVERY_FREQUENCY,OTHER_INFO_1,OTHER_INFO_1_DESCRIPTION,OTHER_INFO_2,OTHER_INFO_2_DESCRIPTION,OTHER_INFO_3,OTHER_INFO_3_DESCRIPTION,OTHER_INFO_4,OTHER_INFO_4_DESCRIPTION,TRIGGER_NAME,LOAD_DURATION_HRS,SLA_THRESHOLD,SCRIPT,DEPENDENT_SOURCE_OBJECT_KEYS,QUEUE_NAME,TARGET_SYSTEM,DAILYOVERLAP,WEEKLYOVERLAP,WEEKLYSYNCDAY,HANDLENULLSINWEEKLY,DIM_FULL_LOAD,NRT_TABLE_NAME,NRT_SCD_LOAD_TYPE
1008023,PROLENDZ,null,TABLE,SQLSERVER,PROLENDZ,DBO,null,TBT_DOCUMENT_DETAILS,MAKER_DATE,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,PROLENDZ/DBO,TBT_DOCUMENT_DETAILS,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,"TGR_PROLENDZ_RAW_DAILY,TGR_PROLENDZ_CURATED_DAILY",24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
1008024,PROLENDZ,null,TABLE,SQLSERVER,PROLENDZ,DBO,null,TBT_DDL_ANALYSIS,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,PROLENDZ/DBO,TBT_DDL_ANALYSIS,1,null,null,SCD-0A,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,"TGR_PROLENDZ_RAW_DAILY,TGR_PROLENDZ_CURATED_DAILY",24,null,null,null,null,null,null,null,null,null,null,null,SCD-0A
1072003,LAS,null,Table,SQLSERVER,ELAS_V2,DBO,null,vbranch,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,LAS/DBO,vbranch,1,0,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
1008026,PROLENDZ,null,TABLE,SQLSERVER,PROLENDZ,DBO,null,TBM_PRODUCT_SEGMENT,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,PROLENDZ/DBO,TBM_PRODUCT_SEGMENT,1,null,null,SCD-0A,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,"TGR_PROLENDZ_RAW_DAILY,TGR_PROLENDZ_CURATED_DAILY",24,null,null,null,null,null,null,null,null,null,null,null,SCD-0A
1008027,PROLENDZ,null,TABLE,SQLSERVER,PROLENDZ,DBO,null,TBH_STATUS_CHANGE_RELEASE_DETAILS,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,PROLENDZ/DBO,TBH_STATUS_CHANGE_RELEASE_DETAILS,1,null,null,SCD-0A,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,"TGR_PROLENDZ_RAW_DAILY,TGR_PROLENDZ_CURATED_DAILY",24,null,null,null,null,null,null,null,null,null,null,null,SCD-0A
1008028,PROLENDZ,null,TABLE,SQLSERVER,PROLENDZ,DBO,null,TBT_SYNERGY_CFD_COLLECTION_DT,MAKER_DATE,null,null,null,null,null,null,null,null,null,null,null,null,1,TRANSACTIONAL,null,null,null,curated-layer,PROLENDZ/DBO,TBT_SYNERGY_CFD_COLLECTION_DT,1,null,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,"TGR_PROLENDZ_RAW_DAILY,TGR_PROLENDZ_CURATED_DAILY",24,null,null,null,null,null,3,null,null,null,null,null,SCD-0
3001422,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FULL_LOAD,null,null,null,datamart-layer,DELTA/ENTERPRISE_MART,JP_MD_DSU_NTBKTB,1,null,null,SCD-1,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,TGR_DATAMART_DAILY_4,24,null,null,2001035,null,DSU,null,null,null,null,null,null,null
3001491,null,null,null,null,null,null,null,null,null,KYC_AML,null,null,null,null,null,null,null,null,null,null,null,null,FULL_LOAD,null,null,null,datamart-layer,null,B9,1,null,null,SCD-0A,null,null,null,1900-01-01T00:00:00.000Z,null,PULL,QUARTERLY,null,null,null,null,null,null,null,null,null,2160,null,null,6000103,null,null,null,null,null,null,null,null,SCD-0A
3001492,null,null,null,null,null,null,null,null,null,KYC_AML,null,null,null,null,null,null,null,null,null,null,null,null,FULL_LOAD,null,null,null,datamart-layer,null,B10,1,null,null,SCD-0A,null,null,null,1900-01-01T00:00:00.000Z,null,PULL,QUARTERLY,null,null,null,null,null,null,null,null,null,2160,null,null,"6000133, 6000150",null,null,null,null,null,null,null,null,SCD-0A
1072004,LAS,null,Table,SQLSERVER,ELAS_V2,DBO,null,script,null,null,null,null,null,null,null,null,null,null,null,null,null,1,FULL_LOAD,null,null,null,curated-layer,LAS/DBO,script,1,0,null,SCD-0,0,null,null,null,null,PULL,DAILY,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,SCD-0
